52,4,5,5,1,1,Red
52,4,5,5,1,1,Red
50,2,4,3,4,3,Red
50,2,4,3,4,3,Red
50,2,4,3,4,3,Red
50,2,4,3,4,3,Red
50,2,4,3,4,3,Red
50,2,4,3,4,3,Red
50,2,4,3,4,3,Red
50,2,4,3,4,3,Red
50,2,4,3,4,3,Red
50,2,4,3,4,3,Red
50,2,4,3,4,3,Red
50,2,4,3,4,3,Red
50,2,4,3,4,3,Red
50,2,4,3,4,3,Red
50,2,4,3,4,3,Red
50,2,4,3,4,3,Red
55,4,4,5,4,3,Red
50,2,4,3,4,3,Red
55,4,4,5,4,3,Red
50,2,4,3,4,3,Red
55,4,4,5,4,3,Red
55,4,4,5,4,3,Red
55,4,4,5,4,3,Red
55,4,4,5,4,3,Red
55,4,4,5,4,3,Red
55,4,4,5,4,3,Red
55,4,4,5,4,3,Red
55,4,4,5,4,3,Red
55,4,4,5,4,3,Red
55,4,4,5,4,3,Red
55,4,4,5,4,3,Red
55,4,4,5,4,3,Red
55,4,4,5,4,3,Red
69,5,5,5,2,4,Blue
69,5,5,5,2,4,Blue
67,5,5,5,2,2,Red
69,5,5,5,2,4,Blue
67,5,5,5,2,2,Red
67,5,5,5,2,2,Red
69,5,5,5,2,4,Blue
64,2,5,5,5,3,Blue
67,5,5,5,2,2,Red
55,4,4,5,4,3,Red
67,5,5,5,2,2,Red
55,4,4,5,4,3,Red
64,2,5,5,5,3,Blue
67,5,5,5,2,2,Red
64,2,5,5,5,3,Blue
67,5,5,5,2,2,Red
64,2,5,5,5,3,Blue
64,2,5,5,5,3,Blue
64,2,5,5,5,3,Blue
51,3,3,1,4,1,Red
51,5,5,2,4,4,Red
51,5,5,2,4,4,Red
51,5,5,2,4,4,Red
51,5,5,2,4,4,Red
51,5,5,2,4,4,Red
51,5,5,2,4,4,Red
51,5,5,2,4,4,Red
51,5,5,2,4,4,Red
51,5,5,2,4,4,Red
51,5,5,2,4,4,Red
53,5,4,3,2,2,Yellow
46,4,5,3,3,4,Blue
46,4,5,3,3,4,Blue
46,4,5,3,3,4,Blue
46,4,5,3,3,4,Blue
46,4,5,3,3,4,Blue
46,4,5,3,3,4,Blue
46,4,5,3,3,4,Blue
46,4,5,3,3,4,Blue
64,2,5,5,5,3,Blue
52,4,5,5,1,1,Red
52,4,5,5,1,1,Red
52,4,5,5,1,1,Red
52,4,5,5,1,1,Red
52,4,5,5,1,1,Red
52,4,5,5,1,1,Red
52,4,5,5,1,1,Red
52,4,5,5,1,1,Red
52,4,5,5,1,1,Red
52,4,5,5,1,1,Red
52,4,5,5,1,1,Red
52,4,5,5,1,1,Red
52,4,5,5,1,1,Red
53,5,3,5,2,3,Red
53,5,3,5,2,3,Red
52,4,5,5,1,1,Red
53,5,3,5,2,3,Red
52,4,5,5,1,1,Red
67,5,5,5,2,2,Red
67,5,5,5,2,2,Red
53,5,3,5,2,3,Red
52,4,5,5,1,1,Red
53,5,3,5,2,3,Red
52,4,5,5,1,1,Red
67,5,5,5,2,2,Red
53,5,3,5,2,3,Red
67,5,5,5,2,2,Red
53,5,3,5,2,3,Red
53,5,3,5,2,3,Red
53,5,3,5,2,3,Red
67,5,5,5,2,2,Red
67,5,5,5,2,2,Red
67,5,5,5,2,2,Red
53,5,3,5,2,3,Red
53,5,3,5,2,3,Red
67,5,5,5,2,2,Red
53,5,3,5,2,3,Red
53,5,3,5,2,3,Red
53,5,3,5,2,3,Red
53,5,3,5,2,3,Red
53,5,3,5,2,3,Red
53,5,3,5,2,3,Red
53,5,3,5,2,3,Red
53,5,3,5,2,3,Red
53,5,3,5,2,3,Red
53,5,3,5,2,3,Red
57,5,5,2,2,4,Red
57,5,5,2,2,4,Red
53,5,3,5,2,3,Red
53,5,3,5,2,3,Red
53,5,3,5,2,3,Red
57,5,5,2,2,4,Red
53,5,3,5,2,3,Red
57,5,5,2,2,4,Red
53,5,3,5,2,3,Red
57,5,5,2,2,4,Red
57,5,5,2,2,4,Red
57,5,5,2,2,4,Red
57,5,5,2,2,4,Red
57,5,5,2,2,4,Red
60,4,5,5,2,4,Red
60,4,5,5,2,4,Red
51,5,5,2,4,4,Red
51,5,5,2,4,4,Red
60,4,5,5,2,4,Red
51,5,5,2,4,4,Red
60,4,5,5,2,4,Red
51,5,5,2,4,4,Red
59,4,5,4,2,2,Green
59,4,5,4,2,2,Green
59,4,5,4,2,2,Green
59,4,5,4,2,2,Green
59,4,5,4,2,2,Green
59,4,5,4,2,2,Green
59,4,5,4,2,2,Green
59,4,5,4,2,2,Green
59,4,5,4,2,2,Green
59,4,5,4,2,2,Green
59,4,5,4,2,2,Green
59,4,5,4,2,2,Green
59,4,5,4,2,2,Green
48,4,5,1,3,3,Yellow
59,4,5,4,2,2,Green
48,4,5,1,3,3,Yellow
48,4,5,1,3,3,Yellow
48,4,5,1,3,3,Yellow
48,4,5,1,3,3,Yellow
48,4,5,1,3,3,Yellow
59,4,5,4,2,2,Green
48,4,5,1,3,3,Yellow
48,4,5,1,3,3,Yellow
48,4,5,1,3,3,Yellow
48,4,5,1,3,3,Yellow
48,4,5,1,3,3,Yellow
48,4,5,1,3,3,Yellow
48,4,5,1,3,3,Yellow
48,4,5,1,3,3,Yellow
48,4,5,1,3,3,Yellow
48,4,5,1,3,3,Yellow
